,Variance
dms-800-2,65.56744375000001,
ba-800-3,23.099943749999998,
dms-800-3,85.01994375000001,
ba-800-4,28.90244375,
dms-800-4,61.35744375,
ba-800-5,26.55244374999999,
dms-800-5,61.82244374999999,
ba-800-6,27.217443750000005,
dms-800-6,60.69994375,
ba-800-7,31.279943749999997,
dms-800-7,82.95744375,
ba-800-8,23.22244375,
dms-800-8,59.27994375,
ba-800-9,20.437443749999996,
dms-800-9,68.20244375,
ba-800-10,29.632443750000004,
dms-800-10,69.47994375,
ba-800-11,28.327443749999997,
dms-800-11,68.53994375,
ba-800-12,27.234943749999996,
dms-800-12,77.10244374999999,
ba-800-13,24.75494375,
dms-800-13,69.22244375,
ba-800-14,24.19244375,
dms-800-14,68.00744375000001,
ba-800-15,21.094943749999995,
dms-800-15,76.85994375,
ba-800-16,23.17744374999999,
dms-800-16,70.61494375000001,
ba-800-17,23.54994375,
dms-800-17,67.23244375,
ba-800-18,28.649943750000002,
dms-800-18,68.30744375000002,
ba-800-19,22.30994375,
dms-800-19,76.31494375,
ba-800-20,27.334943750000004,
dms-800-20,60.74994375,
ba-800-21,26.972443749999993,
dms-800-21,77.74994375,
ba-800-22,26.50994375,
dms-800-22,78.79994375,
ba-800-23,21.999943750000003,
dms-800-23,68.20494375000001,
ba-800-24,27.38494375,
dms-800-24,71.70244375000001,
ba-800-25,27.63494375,
dms-800-25,70.21494375,
ba-800-26,26.159943749999993,
dms-800-26,68.64994375,
ba-800-27,24.654943749999997,
dms-800-27,65.79994375,
ba-800-28,29.23994374999999,
dms-800-28,67.82744375,
ba-800-29,24.212443749999995,
dms-800-29,68.30244375000001,
ba-800-30,21.749943749999996,
dms-800-30,80.37744375,
ba-800-31,29.329943749999995,
dms-800-31,58.119943750000004,
ba-800-32,32.62244375,
dms-800-32,70.40494375,
ba-800-33,24.08994375,
dms-800-33,74.22244375000001,
ba-800-34,28.66744375,
dms-800-34,73.25994375,
ba-800-35,24.55244375,
dms-800-35,97.74744375,
ba-800-36,25.469943749999995,
dms-800-36,58.49994375,
ba-800-37,24.752443749999994,
dms-800-37,67.02994375,
ba-800-38,22.32244375,
dms-800-38,62.13994375,
ba-800-39,23.169943749999998,
dms-800-39,61.03244375,
ba-900-0,29.53106666666667,
dms-900-0,70.91106666666667,
ba-900-1,23.808844444444443,
dms-900-1,71.90662222222221,
ba-900-2,31.115511111111115,
dms-900-2,73.99106666666665,
ba-900-3,26.048844444444445,
dms-900-3,69.21551111111111,
ba-900-4,44.555511111111116,
dms-900-4,86.36439999999999,
ba-900-5,24.137733333333333,
dms-900-5,78.88662222222223,
ba-900-6,23.728844444444444,
dms-900-6,81.88662222222221,
ba-900-7,26.15773333333333,
dms-900-7,70.3844,
ba-900-8,27.01995555555556,
dms-900-8,84.28884444444444,
ba-900-9,29.33328888888889,
dms-900-9,78.65995555555554,
ba-900-10,31.291066666666662,
dms-900-10,84.68662222222221,
ba-900-11,25.0044,
dms-900-11,72.25773333333333,
ba-900-12,25.02662222222222,
dms-900-12,78.81106666666666,
ba-900-13,28.428844444444447,
dms-900-13,79.10884444444446,
ba-900-14,31.417733333333327,
